Date,Open,High,Low,Close,Volume
2022/12/30 16:29, 14120.00, 14124.00, 14081.00, 14100.00, 14549
2022/12/30 17:58, 14099.00, 14109.00, 14090.00, 14108.00, 4827
2022/12/30 19:27, 14109.00, 14132.00, 14103.00, 14121.00, 6470
2022/12/30 20:56, 14120.00, 14132.00, 14094.00, 14105.00, 6012
2022/12/30 22:25, 14104.00, 14104.00, 14067.00, 14091.00, 12340
2022/12/30 23:54, 14090.00, 14110.00, 14050.00, 14076.00, 26307
2022/12/31 01:23, 14075.00, 14077.00, 14021.00, 14043.00, 16924
2022/12/31 02:52, 14043.00, 14054.00, 14005.00, 14029.00, 8120
2022/12/31 04:21, 14030.00, 14085.00, 14021.00, 14082.00, 6949
2022/12/31 05:00, 14081.00, 14130.00, 14067.00, 14100.00, 7739
2023/01/03 10:14, 14064.00, 14064.00, 13952.00, 14039.00, 84072
2023/01/03 11:43, 14040.00, 14195.00, 14026.00, 14187.00, 65938
2023/01/03 13:12, 14188.00, 14247.00, 14185.00, 14223.00, 34532
2023/01/03 13:45, 14223.00, 14239.00, 14216.00, 14230.00, 9640
2023/01/03 16:29, 14227.00, 14277.00, 14207.00, 14274.00, 15447
2023/01/03 17:58, 14274.00, 14310.00, 14264.00, 14301.00, 12703
2023/01/03 19:27, 14300.00, 14315.00, 14277.00, 14284.00, 8319
2023/01/03 20:56, 14283.00, 14286.00, 14226.00, 14240.00, 14929
2023/01/03 22:25, 14240.00, 14272.00, 14231.00, 14258.00, 13074
2023/01/03 23:54, 14258.00, 14304.00, 14180.00, 14216.00, 45938
2023/01/04 01:23, 14216.00, 14241.00, 14153.00, 14169.00, 22305
2023/01/04 02:52, 14168.00, 14193.00, 14146.00, 14167.00, 8832
2023/01/04 04:21, 14168.00, 14217.00, 14150.00, 14195.00, 6168
2023/01/04 05:00, 14193.00, 14202.00, 14183.00, 14190.00, 2051
2023/01/04 10:14, 14199.00, 14271.00, 14180.00, 14233.00, 59705
2023/01/04 11:43, 14233.00, 14253.00, 14192.00, 14202.00, 27519
2023/01/04 13:12, 14202.00, 14235.00, 14187.00, 14230.00, 18401
2023/01/04 13:45, 14230.00, 14245.00, 14208.00, 14209.00, 9147
