Sid,Symbol,Interval,OpenValue,LowValue,CloseValue,HighValue,VolumeValue,StartDateTime,EndDateTime
2938,ETHUSDT,1h,1571.41,1578.94,1565,1574.09,20451.79,2023-01-18 00:00:00.000,2023-01-18 00:59:59.000
2939,ETHUSDT,1h,1574.09,1581,1568.5,1579.1,23365.07,2023-01-18 01:00:00.000,2023-01-18 01:59:59.000
2940,ETHUSDT,1h,1579.1,1599.14,1575.86,1595.66,26781.03,2023-01-18 02:00:00.000,2023-01-18 02:59:59.000
2941,ETHUSDT,1h,1595.67,1596.55,1585.85,1588.85,17380.34,2023-01-18 03:00:00.000,2023-01-18 03:59:59.000
2942,ETHUSDT,1h,1588.86,1592.64,1578.25,1586.76,15603.2,2023-01-18 04:00:00.000,2023-01-18 04:59:59.000
2943,ETHUSDT,1h,1586.76,1587.88,1576.03,1580.85,11760.73,2023-01-18 05:00:00.000,2023-01-18 05:59:59.000
2944,ETHUSDT,1h,1580.86,1581.83,1571.9,1574.17,8016.178,2023-01-18 06:00:00.000,2023-01-18 06:59:59.000
2945,ETHUSDT,1h,1574.16,1578.53,1563.69,1565.57,18075.98,2023-01-18 07:00:00.000,2023-01-18 07:59:59.000
2946,ETHUSDT,1h,1565.56,1574.58,1562.93,1570.59,13596.59,2023-01-18 08:00:00.000,2023-01-18 08:59:59.000
2947,ETHUSDT,1h,1570.6,1581.44,1570.18,1581.09,13895.73,2023-01-18 09:00:00.000,2023-01-18 09:59:59.000
2948,ETHUSDT,1h,1581.09,1587.72,1570.44,1583.95,25015.99,2023-01-18 10:00:00.000,2023-01-18 10:59:59.000
2949,ETHUSDT,1h,1583.96,1592.01,1581.51,1582.01,20188.67,2023-01-18 11:00:00.000,2023-01-18 11:59:59.000
2950,ETHUSDT,1h,1582,1585.85,1578.86,1585.38,10783.14,2023-01-18 12:00:00.000,2023-01-18 12:59:59.000
2951,ETHUSDT,1h,1585.38,1588.72,1583.5,1587.26,11934.1,2023-01-18 13:00:00.000,2023-01-18 13:59:59.000
2952,ETHUSDT,1h,1587.26,1587.75,1580.3,1582.05,10383.34,2023-01-18 14:00:00.000,2023-01-18 14:59:59.000
2953,ETHUSDT,1h,1582.05,1584.1,1579.63,1583.14,15091.63,2023-01-18 15:00:00.000,2023-01-18 15:59:59.000
2954,ETHUSDT,1h,1583.14,1583.77,1571.57,1576.66,18081.04,2023-01-18 16:00:00.000,2023-01-18 16:59:59.000
2955,ETHUSDT,1h,1576.66,1582,1570.67,1578.47,15224.89,2023-01-18 17:00:00.000,2023-01-18 17:59:59.000
2956,ETHUSDT,1h,1578.48,1579.62,1572.27,1573.6,9872.69,2023-01-18 18:00:00.000,2023-01-18 18:59:59.000
2957,ETHUSDT,1h,1573.6,1578.41,1573.05,1575.9,6836.925,2023-01-18 19:00:00.000,2023-01-18 19:59:59.000
2958,ETHUSDT,1h,1575.9,1583.58,1575.9,1580.09,9517.826,2023-01-18 20:00:00.000,2023-01-18 20:59:59.000
2959,ETHUSDT,1h,1580.09,1599,1575.6,1594.24,52421.98,2023-01-18 21:00:00.000,2023-01-18 21:59:59.000
2960,ETHUSDT,1h,1594.23,1610,1586.92,1593.64,60405.35,2023-01-18 22:00:00.000,2023-01-18 22:59:59.000
