Sid,StartTime,HighValue,LowValue,OpenValue,CloseValue,Volumn
415278,2017-08-18 00:00:00.000,312.18,298.21,307.74,302,2408.994
415279,2017-08-18 08:00:00.000,309.49,295.19,302,306.24,3423.109
415280,2017-08-18 16:00:00.000,311.79,296.32,306.24,298.8,2572.008
415281,2017-08-19 00:00:00.000,301.11,283.94,298.8,293.96,3542.729
415282,2017-08-19 08:00:00.000,299.9,287.01,293.31,290.16,517.485
415283,2017-08-19 16:00:00.000,293.17,278,290.16,288.64,1427.33
415284,2017-08-20 00:00:00.000,295,284.16,288.64,290.91,201.3823
415285,2017-08-20 08:00:00.000,295.56,285.39,289.41,292.08,320.6632
415286,2017-08-20 16:00:00.000,296.92,282.85,293.02,295.1,308.1244
415287,2017-08-21 00:00:00.000,300.53,293.28,295.1,299.1,1881.351
415288,2017-08-21 08:00:00.000,329.49,294.6,299.1,318.5,1612.377
415289,2017-08-21 16:00:00.000,346.52,312.6,317.48,334.94,1434.817
415290,2017-08-22 00:00:00.000,342.72,316.12,334.34,323.29,2172.251
415291,2017-08-22 08:00:00.000,330.41,144.21,321.04,300.35,1517.088
415292,2017-08-22 16:00:00.000,313.16,296,300.35,308.39,3932.956
415293,2017-08-23 00:00:00.000,320.76,305.08,305.08,309.8,2506.308
415294,2017-08-23 08:00:00.000,324.99,309.41,312.25,319.06,2464.397
415295,2017-08-23 16:00:00.000,324.51,313.75,319.06,319.2,3392.26
415296,2017-08-24 00:00:00.000,322.34,312.05,317.87,315.74,2809.069
415297,2017-08-24 08:00:00.000,322.36,314.01,315.74,318.54,2135.25
415298,2017-08-24 16:00:00.000,328.04,316.14,318.54,321.2,2808.552
415299,2017-08-25 00:00:00.000,326.33,318.97,323.67,323.42,1809.47
415300,2017-08-25 08:00:00.000,335,323.42,323.42,330.29,2522.455
415301,2017-08-25 16:00:00.000,335.41,327.4,330.29,333.15,3160.604
415302,2017-08-26 00:00:00.000,338.28,324.9,335.29,327.24,1442.91
415303,2017-08-26 08:00:00.000,332.27,323.41,327.24,327.9,1640.276
415304,2017-08-26 16:00:00.000,335.44,324.06,328.45,327,1797.126
415305,2017-08-27 00:00:00.000,334.17,326.7,327.01,330.79,1440.283
415306,2017-08-27 08:00:00.000,338.29,330.79,332.18,332.77,1745.789
415307,2017-08-27 16:00:00.000,338.42,330.73,332.77,334.67,1522.792
415308,2017-08-28 00:00:00.000,348.13,332.97,335.04,348.13,1366.856
415309,2017-08-28 08:00:00.000,351,331.95,348.11,338.77,1880.583
415310,2017-08-28 16:00:00.000,347.41,336.54,340.89,341.83,1223.343
415311,2017-08-29 00:00:00.000,348.5,340.49,341.83,346,1175.256
415312,2017-08-29 08:00:00.000,360.79,346,347,354.18,658.473
415313,2017-08-29 16:00:00.000,367.4,354.01,354.17,364.57,1201.396
415314,2017-08-30 00:00:00.000,377.6,362.79,365.74,374.7,1172.265
415315,2017-08-30 08:00:00.000,393.71,367.37,374.7,378.14,796.7372
415316,2017-08-30 16:00:00.000,385.33,362.05,378.16,379.38,2377.433
415317,2017-08-31 00:00:00.000,389.8,378.72,379.38,385.93,1272.426
415318,2017-08-31 08:00:00.000,385.94,377.78,384.64,383.14,1159.077
415319,2017-08-31 16:00:00.000,389.36,378.85,381.89,383.76,1693.648
415320,2017-09-01 00:00:00.000,388.25,383.13,384.38,384.79,1583.144
415321,2017-09-01 08:00:00.000,394.39,383.18,386.44,388.4,1506.542
415322,2017-09-01 16:00:00.000,393.08,385.88,389.48,387.01,1693.041
415323,2017-09-02 00:00:00.000,394.02,386.05,387.91,388.46,999.1013
415324,2017-09-02 08:00:00.000,394.32,347,388.58,363.7,2822.973
415325,2017-09-02 16:00:00.000,364.84,327.09,364.83,341.72,2865.426
415326,2017-09-03 00:00:00.000,345.27,320.08,341.72,343.14,2551.928
415327,2017-09-03 08:00:00.000,367.28,340.2,343.56,357.81,1712.011
415328,2017-09-03 16:00:00.000,363.45,320.08,357.82,329.34,2790.206
415329,2017-09-04 00:00:00.000,347.73,328.3,329.35,341.77,751.4058
415330,2017-09-04 08:00:00.000,344.55,270.38,339.29,275.01,1717.083
415331,2017-09-04 16:00:00.000,314.27,267.94,284.51,269.54,3681.142
415332,2017-09-05 00:00:00.000,312.92,268.2,268.93,283.77,1339.585
415333,2017-09-05 08:00:00.000,298.74,235.55,286.81,296.52,4143.741
415334,2017-09-05 16:00:00.000,304.99,282.52,296.56,291.66,2779.298
415335,2017-09-06 00:00:00.000,321.52,285.94,290.07,312.09,1421.381
415336,2017-09-06 08:00:00.000,333.12,312.09,313.29,318.53,2511.589
415337,2017-09-06 16:00:00.000,335.24,319.02,320.31,335,2765.404
415338,2017-09-07 00:00:00.000,336.34,335,335,335,209.317
415339,2017-09-07 08:00:00.000,335.01,320.35,335.01,323.57,952.6568
415340,2017-09-07 16:00:00.000,338.38,320.17,323.57,337,1434.604
415341,2017-09-08 00:00:00.000,342.5,328.81,337,334.49,716.6372
415342,2017-09-08 08:00:00.000,335.1,324.72,334.49,329.57,678.345
415343,2017-09-08 16:00:00.000,333.76,272,329.57,294.05,2631.331
415344,2017-09-09 00:00:00.000,310.46,280.8,294.06,302.99,1606.081
415345,2017-09-09 08:00:00.000,306.42,281.66,300.01,299.68,1265.452
415346,2017-09-09 16:00:00.000,307,295,301,298.98,754.6031
415347,2017-09-10 00:00:00.000,302.77,285.17,298.61,296.74,720.5328
415348,2017-09-10 08:00:00.000,299,261.03,296.72,276.86,1610.171
415349,2017-09-10 16:00:00.000,288,265,276.86,283.2,1618.452
415350,2017-09-11 00:00:00.000,302.78,283,283.13,293.5,927.8283
415351,2017-09-11 08:00:00.000,304.98,285.21,293.51,293.96,3489.858
415352,2017-09-11 16:00:00.000,300.97,288.98,293.35,299.2,938.5737
415353,2017-09-12 00:00:00.000,301.99,293.38,299.2,297.3,401.2149
415354,2017-09-12 08:00:00.000,316.46,297.51,297.78,314.15,2136.618
415355,2017-09-12 16:00:00.000,313.7,300,313.7,304.21,2185.374
415356,2017-09-13 00:00:00.000,305.22,286.01,304.06,293.96,854.3222
415357,2017-09-13 08:00:00.000,294.5,267,293.93,277.83,1853.89
415358,2017-09-13 16:00:00.000,280.63,257.05,278.55,266.93,3168.562
415359,2017-09-14 00:00:00.000,282.77,264.95,266.93,276.91,1428.776
415360,2017-09-14 08:00:00.000,283.77,266.95,275.76,270.85,1370.977
415361,2017-09-14 16:00:00.000,273,229.77,270.85,243.48,6979.108
415362,2017-09-15 00:00:00.000,244.99,215,241.95,215.21,4251.872
415363,2017-09-15 08:00:00.000,243.96,212.11,217,220,4091.848
