Sid,Symbol,HighValue,LowValue,OpenValue,CloseValue,Volumn,Period,StartTime,EndTime,StartPoint,HistroyHigh,NewHigh,PeriodLow,HistoryLow,NewLow,PeriodHigh,PeriodMean,Buy,BuyInv,BuyWinRate,BuyInvWinRate
12095,ETHUSDT,312.18,298.21,307.74,301.6,1208.052,4h,2017-08-18 00:00:00.000,2017-08-18 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12096,ETHUSDT,310.85,299.01,301.6,302,1200.942,4h,2017-08-18 04:00:00.000,2017-08-18 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12097,ETHUSDT,306.47,295.19,302,301.4,1690.583,4h,2017-08-18 08:00:00.000,2017-08-18 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12098,ETHUSDT,309.49,298.41,301.4,306.24,1732.526,4h,2017-08-18 12:00:00.000,2017-08-18 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12099,ETHUSDT,311.79,303.22,306.24,307.78,1213.013,4h,2017-08-18 16:00:00.000,2017-08-18 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12100,ETHUSDT,310.29,296.32,307.78,298.8,1358.995,4h,2017-08-18 20:00:00.000,2017-08-18 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12101,ETHUSDT,301.11,287.37,298.8,293.83,1620.715,4h,2017-08-19 00:00:00.000,2017-08-19 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12102,ETHUSDT,295.46,283.94,295.46,293.96,1922.015,4h,2017-08-19 04:00:00.000,2017-08-19 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12103,ETHUSDT,299.84,292.83,293.31,293.22,282.193,4h,2017-08-19 08:00:00.000,2017-08-19 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12104,ETHUSDT,299.9,287.01,294.69,290.16,235.2921,4h,2017-08-19 12:00:00.000,2017-08-19 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12105,ETHUSDT,293.17,278,290.16,282.58,1139.03,4h,2017-08-19 16:00:00.000,2017-08-19 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12106,ETHUSDT,290.85,279.56,281.39,288.64,288.2999,4h,2017-08-19 20:00:00.000,2017-08-19 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12107,ETHUSDT,295,284.16,288.64,293.31,127.3859,4h,2017-08-20 00:00:00.000,2017-08-20 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12108,ETHUSDT,294.9,288.8,290.6,290.91,73.99638,4h,2017-08-20 04:00:00.000,2017-08-20 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12109,ETHUSDT,292.42,285.96,289.41,292.41,68.40092,4h,2017-08-20 08:00:00.000,2017-08-20 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12110,ETHUSDT,295.56,285.39,287.97,292.08,252.2623,4h,2017-08-20 12:00:00.000,2017-08-20 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12111,ETHUSDT,296.89,282.85,293.02,295,240.7597,4h,2017-08-20 16:00:00.000,2017-08-20 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12112,ETHUSDT,296.92,292.28,295,295.1,67.3647,4h,2017-08-20 20:00:00.000,2017-08-20 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12113,ETHUSDT,300.53,293.28,295.1,297.88,361.567,4h,2017-08-21 00:00:00.000,2017-08-21 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12114,ETHUSDT,300.53,294.51,297.87,299.1,1519.784,4h,2017-08-21 04:00:00.000,2017-08-21 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12115,ETHUSDT,300.9,294.6,299.1,299.85,723.806,4h,2017-08-21 08:00:00.000,2017-08-21 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12116,ETHUSDT,329.49,299.11,300.03,318.5,888.5711,4h,2017-08-21 12:00:00.000,2017-08-21 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12117,ETHUSDT,333.66,312.6,317.48,331.53,207.3769,4h,2017-08-21 16:00:00.000,2017-08-21 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12118,ETHUSDT,346.52,325.42,331.33,334.94,1227.44,4h,2017-08-21 20:00:00.000,2017-08-21 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12119,ETHUSDT,342.72,316.82,334.34,329.71,1715.073,4h,2017-08-22 00:00:00.000,2017-08-22 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12120,ETHUSDT,332.74,316.12,332.27,323.29,457.1785,4h,2017-08-22 04:00:00.000,2017-08-22 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12121,ETHUSDT,330.41,280,321.04,280,809.6152,4h,2017-08-22 08:00:00.000,2017-08-22 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12122,ETHUSDT,310.24,144.21,144.21,300.35,707.4725,4h,2017-08-22 12:00:00.000,2017-08-22 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12123,ETHUSDT,313.16,296,300.35,308.03,2176.125,4h,2017-08-22 16:00:00.000,2017-08-22 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12124,ETHUSDT,311.24,301.48,311.16,308.39,1756.831,4h,2017-08-22 20:00:00.000,2017-08-22 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12125,ETHUSDT,320.76,305.08,305.08,307.03,1304.251,4h,2017-08-23 00:00:00.000,2017-08-23 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12126,ETHUSDT,313.99,305.08,307.03,309.8,1202.056,4h,2017-08-23 04:00:00.000,2017-08-23 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12127,ETHUSDT,319.78,309.41,312.25,317.26,1088.333,4h,2017-08-23 08:00:00.000,2017-08-23 11:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12128,ETHUSDT,324.99,315.35,315.45,319.06,1376.063,4h,2017-08-23 12:00:00.000,2017-08-23 15:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12129,ETHUSDT,324.51,318.02,319.06,319.2,1285.874,4h,2017-08-23 16:00:00.000,2017-08-23 19:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12130,ETHUSDT,322,313.75,319.2,319.2,2106.385,4h,2017-08-23 20:00:00.000,2017-08-23 23:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12131,ETHUSDT,322.34,315.53,317.87,318.57,1635.497,4h,2017-08-24 00:00:00.000,2017-08-24 03:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12132,ETHUSDT,320.2,312.05,318.57,315.74,1173.573,4h,2017-08-24 04:00:00.000,2017-08-24 07:59:59.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
